date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-23T04:00:00,21550.0,27.0,4723.0,110344.0,,,,
2022-03-23T05:00:00,24137.0,21.0,4257.0,197683.0,,,,
2022-03-23T06:00:00,28798.0,24.0,4332.0,198174.0,,,,
2022-03-23T07:00:00,14999.0,23.0,3118.0,43882.0,,,,
2022-03-23T08:00:00,26422.0,23.0,4018.0,194985.0,,,,
2022-03-23T09:00:00,15609.0,24.0,3288.0,43467.0,,,,
2022-03-23T10:00:00,14303.0,27.0,4187.0,42430.0,,,,
2022-03-23T11:00:00,13134.0,23.0,4096.0,36551.0,,,,
2022-03-23T12:00:00,20490.0,23.0,5146.0,99178.0,,,,
2022-03-23T13:00:00,17179.0,22.0,4135.0,49539.0,,,,
2022-03-23T14:00:00,15821.0,26.0,3463.0,44649.0,,,,
2022-03-23T15:00:00,16111.0,24.0,6437.0,69554.0,,,,
2022-03-23T16:00:00,22448.0,22.0,7274.0,73113.0,,,,
2022-03-23T17:00:00,13971.0,23.0,4111.0,59417.0,,,,
2022-03-23T18:00:00,29435.0,23.0,6950.0,345794.0,,,,
2022-03-23T19:00:00,20357.0,23.0,5148.0,98126.0,,,,
2022-03-23T20:00:00,20296.0,26.0,6687.0,55738.0,,,,
2022-03-23T21:00:00,68722.0,24.0,5662.0,649340.0,,,,
2022-03-23T22:00:00,15633.0,24.0,5267.0,37114.0,,,,
2022-03-23T23:00:00,19266.0,24.0,6818.0,61742.0,,,,
2022-03-24T00:00:00,19859.0,26.0,3935.0,97779.0,,,,
2022-03-24T01:00:00,40655.0,24.0,4590.0,578090.0,,,,
2022-03-24T02:00:00,57343.0,24.0,4779.0,908087.0,,,,
2022-03-24T03:00:00,22884.0,24.0,6016.0,105374.0,,,,
2022-03-24T04:00:00,22848.0,24.0,4537.0,238016.0,,,,
2022-03-24T05:00:00,30566.0,27.0,3542.0,397210.0,,,,
2022-03-24T06:00:00,13982.0,24.0,4771.0,60845.0,,,,
2022-03-24T07:00:00,29828.0,24.0,4387.0,350171.0,,,,
2022-03-24T08:00:00,29613.0,24.0,5807.0,279751.0,,,,
2022-03-24T09:00:00,20910.0,23.0,2716.0,76934.0,,,,
2022-03-24T10:00:00,14955.0,25.0,3308.0,52705.0,,,,
2022-03-24T11:00:00,20205.0,25.0,4174.0,82224.0,,,,
2022-03-24T12:00:00,29278.0,23.0,4375.0,291942.0,,,,
2022-03-24T13:00:00,23655.0,24.0,6218.0,127831.0,,,,
2022-03-24T14:00:00,20841.0,24.0,4850.0,103536.0,,,,
2022-03-24T15:00:00,20966.0,23.0,4905.0,93224.0,,,,
2022-03-24T16:00:00,20617.0,23.0,4738.0,92135.0,,,,
2022-03-24T17:00:00,23680.0,25.0,4044.0,128575.0,,,,
2022-03-24T18:00:00,27405.0,25.0,6470.0,173521.0,,,,
2022-03-24T19:00:00,22470.0,24.0,5995.0,112642.0,,,,
2022-03-24T20:00:00,17355.0,24.0,5552.0,106039.0,,,,
2022-03-24T21:00:00,13126.0,24.0,3102.0,44878.0,,,,
2022-03-24T22:00:00,14659.0,24.0,5133.0,47840.0,,,,
2022-03-24T23:00:00,16485.0,24.0,5511.0,119608.0,,,,
2022-03-25T00:00:00,20031.0,24.0,5176.0,91795.0,,,,
2022-03-25T01:00:00,21256.0,27.0,4666.0,162628.0,,,,
2022-03-25T02:00:00,31897.0,24.0,4815.0,197935.0,,,,
2022-03-25T03:00:00,55511.0,24.0,4174.0,365013.0,,,,
2022-03-25T04:00:00,22972.0,24.0,4344.0,139479.0,,,,
2022-03-25T05:00:00,23522.0,24.0,5365.0,109636.0,,,,
2022-03-25T06:00:00,22863.0,27.0,3598.0,121350.0,,,,
2022-03-25T07:00:00,25586.0,22.0,7117.0,127342.0,,,,
2022-03-25T08:00:00,21755.0,24.0,3988.0,120735.0,,,,
2022-03-25T09:00:00,21348.0,24.0,4742.0,106579.0,,,,
2022-03-25T10:00:00,18721.0,23.0,4703.0,63290.0,,,,
2022-03-25T11:00:00,25695.0,23.0,3929.0,120344.0,,,,
2022-03-25T12:00:00,19832.0,23.0,4051.0,51633.0,,,,
2022-03-25T13:00:00,13852.0,26.0,4296.0,66947.0,,,,
2022-03-25T14:00:00,18728.0,23.0,4151.0,95581.0,,,,
2022-03-25T15:00:00,23781.0,24.0,5744.0,154461.0,,,,
2022-03-25T16:00:00,31281.0,23.0,6146.0,106851.0,,,,
2022-03-25T17:00:00,25596.0,23.0,5050.0,117323.0,,,,
2022-03-25T18:00:00,35166.0,24.0,4396.0,194390.0,,,,
2022-03-25T19:00:00,27309.0,27.0,4563.0,257386.0,,,,
2022-03-25T20:00:00,39408.0,26.0,4375.0,525702.0,,,,
2022-03-25T21:00:00,24686.0,24.0,4451.0,270013.0,,,,
2022-03-25T22:00:00,29941.0,24.0,6133.0,361658.0,,,,
2022-03-25T23:00:00,16955.0,23.0,4369.0,47617.0,,,,
2022-03-26T00:00:00,36071.0,24.0,5213.0,363211.0,,,,
2022-03-26T01:00:00,31063.0,27.0,6035.0,243322.0,,,,
2022-03-26T02:00:00,22127.0,24.0,5593.0,123952.0,,,,
2022-03-26T03:00:00,29131.0,24.0,5271.0,104362.0,,,,
2022-03-26T04:00:00,19344.0,24.0,5304.0,90366.0,,,,
2022-03-26T05:00:00,20826.0,27.0,4457.0,94718.0,,,,
2022-03-26T06:00:00,23149.0,23.0,5443.0,45346.0,,,,
2022-03-26T07:00:00,14035.0,23.0,5658.0,54507.0,,,,
2022-03-26T08:00:00,29328.0,23.0,4584.0,240707.0,,,,
2022-03-26T09:00:00,25651.0,23.0,6601.0,205905.0,,,,
2022-03-26T10:00:00,17702.0,26.0,5135.0,72335.0,,,,
2022-03-26T11:00:00,42723.0,24.0,5940.0,248727.0,,,,
